custid,debtinc,creddebt,othdebt,preloan
1,12.34,13.26,5.88,2
2,18.65,2.12,5.13,1
3,7.22,3.31,3.65,1
4,6.15,2.95,2.34,1
5,20.64,2.67,4.07,2
6,12.44,3.06,2.57,2
7,34.21,6.51,17.62,2
8,8.27,2.38,3.09,1
9,26.67,3.41,4.22,2
10,19.81,2.81,4.06,2
11,3.05,1.58,1.22,11
12,6.01,2.82,1.44,1
13,13.65,4.03,3.57,2
14,20.99,3.69,3.88,2
15,13.26,4.32,5.81,2
16,8.65,2.51,3.97,1
17,20.64,5.34, ,2
18,12.24,1.73,5.32,2
19,10.55,1.83,3.02,2
20,2.79,2.04,1.77,1
21,3.82,1.53,0.83,2
22,10.28,0.95,3.14,2
22,,0.06,0.12,
23,11.82,1.47,2.89,2
24,13.55,2.58,2.69,1
25,20.33,1.45,3.21,2
26,20.98,3.99,4.31,1
27,7.6,3.18,5.41,2
28,18.31,2.09,11.56,2
29,23.23,6.01,8.52,2
30,18.37,2.96,6.08,2
31,5.13,1.24,1.99,2
32,15.04,3.93,3.15,1
33,10.21,2.96,0.93,2
34,16.79,1.96,4.24,1
35,3.96,2.12,2.79,1
36,26.53,6.61,7,2
37,20.94,2.89,2.46,2
38,15.59,5.75,5.74,2
39,20.79,3.66,4.64,2
40,4.32,2.39,3.42,2
41,10.28,1.99,3.4,2
42,9.92,4.47,3.11,2
43,8.38,1.52,2.69,1
44,13.42,2.6,5.11,2
45,11.66,2.36,1.17,1
46,9.75,0.24,1.13,2
47,6.26,2.43,1.94,2
48,11.01,0.54,3.88,2
49,15.42,1.94,2.63,1
50,9.39,0.47,4.13,1
51,16.59,1.56,3.93,2
52,17.24,1.2,3.87,2
53,13.66,3.23,4.54,2
54,8.21,2.93,0.87,1
55,13.43,0.71,3.95,2
56,20.08,2.33,2.7,1
57,8.98,0.79,1.82,1
58,7.33,2.43,1.44,1
59,6.95,3.92,1.72,1
60,17.16,5.14,7.78,1
61,3.5,1.28,1.88,1
62,11.54,4.29,2.31,2
63,16.87,3.33,3.96,2
64,7.78,4.59,3.01,1
65,11.99,3.47,2.39,1
66,25.42,10.01,11.38,1
67,10.58,1.87,1.58,2
68,10.49,4.21,3.42,2
69,12.82,4.08,2.09,1
70,22.5,2.35,3.26,2
71,24.7,4.2,5.08,2
72,25.18,5.79,6.22,2
73,15.67,4.67,10.2,1
73,0.66,0.51,0.04, 
74,12.15,1.54,1.32,2
75,2.78,2.61,2.01,1
76,24.32,6.66,9.91,2
77,4.58,1.93,1.04,2
78,6.83,0.66,1.91,1
79,2.83,1.43,2.75,2
80,8.03,1.44,1.99,2
81,13.38,4.63,1.77,1
82,19.25,3.02,6.57,2
83,21.9,4.65,3.77,1
84,14.36,4.49,2.43,2
85,5.84,1.85,0.83,2
86,21.98,3.73,6.9,1
87,13.24,5.54,1.54,2
88,28.82,3.07,7.65,1
89,4.35,0.96,0.78,1
90,28.25,4.69,3.19,2
91,10.75,1.6,2.79,2
92,14.94,2.9,1.43,1
93,11.18,3.6,5.69,1
94,9.01,2.04,0.99,1
95,27.61,2.26,1.99,1
96,6.63,1.33,2.8,2
97,5.15,2.44,2.55,2
98,12.09,3.64,3.87,1
99,10.27,2.55,1.74,1
100,13.49,1.42,1.74,1
101,3.7,2.63,2.89,2
102,10.33,1.9,3.29,1
103,10.49,3.68,1.84,2
104,5.91,3.4,2.43,1
105,24.12,11.49,8.89,2
106,4.97,2.68,2,2
107,14.56,2.61,3.87,1
108,17.71,2.67,2.73,1
109,9.14,1.96,3.77,2
110,12.25,1.69,4.14,2
111,7.84,1.37,2.25,2
112,11.15,3.08,4.37,1
113,11.59,2.77,2.23,1
114,25.07,4.46,9.4,1
115,11.91,2.23,3.83,1
116,5.96,1.71,2.56,1
117,10.35,2.79,2.03,1
118,4.39,2.45,2.54,1
119,16.26,2.59,4.35,2
120,11.63,2.12,1.99,2
121,10.82,4.18,2.42,1
122,10.88,3.15,1.44,2
123,36.97,2.25,7.81,1
124,14.17,2.02,3.08,2
125,6.01,1.67,2.39,2
126,5.16,1.59,1.56,1
127,14.19,3.29,8.85,1
128,2.94,1.3,0.96,1
129,13.35,1.77,3.51,2
130,9.83,3.05,2.67,1
131,6.15,2.87,0.5,2
132,17.64,1.56,2.49,1
133,21.32,3.12,6.3,2
134,16.86,3.41,6.07,1
135,7.18,1.34,2.39,2
136,6.3,0.71,2.39,2
137,14.97,2.36,4.55,1
138,10.87,2.6,1.15,2
139,7.84,0.7,3.08,1
140,10.75,3.93,1.97,1
141,16.71,1.95,3.41,2
142,19.08,4.36,6.79,1
143,4.56,2.06,4.95,2
144,9.41,2.76,2.58,2
145,8.69,2.76,4.97,1
146,7.56,0.7,2.72,1
147,15.9,3.05,2.97,1
148,11.45,3.02,0.85,2
149,11.88,1.83,2.55,1
150,8.92,2.49,2.97,1
151,18.72,3.17,9.31,1
152,6.89,2.28,4.34,2
153,20.18,1.52,3.74,1
154,7.94,1.62,2.51,1
155,13.76,2.76,4.46,1
156,23.99,4.72,5.17,1
157,14.14,4.64,3.37,1
158,15.96,2.59,3.62,2
159,15.42,2.47,4.5,2
160,4.92,0.65,2.8,1
161,12,3.79,2.05,1
162,10.96,2.92,3.34,1
163,8.77,0.54,1.52,1
164,5.52,0.56, ,1
165,15.68,2.81,3.07,2
166,23.11,7.2,14.41,1
167,17.11,3.58,3.59,1
168,10.55,3.77,3.23,1
169,2.21,2.4,0.91,1
170,8.88,2.17,1.87,2
171,11.86,3.27,2.27,2
172,12.11,2.53,2.89,1
173,7.13,2.55,1.88,2
174,10.49,5.33,4.28,1
175,8.17,2.4,2.54,1
176,11.57,2.4,2.6,2
177,18.7,0.18,2.96,2
178,8.38,2.13,2.17,1
179,12.32,2.67,2.21,1
180,26.09,2.17,7,1
181,5.03,0.58,3.66,1
182,6.42,1.89,3.02,2
183,5.08,2.57,3.05,2
184,9.77,2.93,2.7,1
185,26.01,1.73,7.36,1
186,10.69,2.05,1.22,1
187,16.25,3.36,4.96,1
188,18.89,7.24,5.22,1
189,10.74,0.43,2.58,1
190,18.3,5.7,9.72,1
191,15.8,3.82,2.94,1
192,14.56,1.23,2.45,2
193,14.1,2.81,3.46,2
194,3.12,2.65,0.51,1
195,7.78,0.36,4.17,2
196,4.42,0.74,2.58,1
197,6.56,0.63,1.16,2
198,7.17,2.08,1.73,1
199,8.5,0.7,4.03,1
200,23.76,3.81,4.22,2
201,4.18,0.38,2.32,2
202,9.04,3.17,5.6,2
203,10.11,2.67,4.93,1
204,12.94,2.63,4.51,2
205,8.91,2.37,4.79,2
206,8.73,5.29,6.08,1
207,7.31,1.45,1.42,1
208,2.1,1.76,1.92,1
209,7.28,2.99,4.43,2
210,6.37,1.17,1.05,2
211,14.96,1.61,13.71,1
212,11.52,2.78,3.31,2
213,8.75,2.9,2.52,2
214,9.75,2.54,1.93,1
215,14.51,4.52,4.87,2
216,9.96,1.79,2.38,1
217,13.19,3.79,3.7,1
218,16.34,4.17,16.15,1
219,7.04,1.79,2.32,2
220,9.37,3.96,5.05,1
221,2.72,0.52,1.43,1
222,13.57,2.9,2.95,1
223,14.85,4.8,11.15,1
224,21.39,6.11,12.05,1
225,22.3,4.26,8.46,1
226,10.43,2.18,2.75,2
227,20.43,4.65,6.23,2
228,4.28,3.65,0.6,1
229,6.5,0.29,1.11,2
230,16.39,2.74,2.67,1
231,16.78,1.82,7.74,2
232,11.11,1.12,3.94,2
233,4.74,0.78,1.57,1
234,7.48,1.24,2.54,1
235,2.67,2.68,0.37,1
236,9.83,1.61,0.94,1
237,11.6,1.82,3.05,2
238,13.98,2.44,1.81,2
239,7.18,1.41,3.67,2
240,21.19,4.78,6.21,1
241,19.27,3.45,3.5,1
242,14.48,2.1,2.51,1
243,6.31,2.29,1.95,1
244,18.86,11.97,9.29,1
245,15.48,3.35,5.05,2
246,25.22,3.96,6.43,2
247,3.71,0.45,2.49,1
248,19,1.68,2.85,2
249,22.7,1.47,6.6,2
250,15.03,5.7,9.87,1
251,13.85,5.63,14.46,2
252,25.99,3.71,9.27,2
253,6.7,1.46,2.45,2
254,11.95,1.37,3.24,1
255,10.06,1.98,3.39,1
256,11.54,4.25,7.05,2
257,7.42,2.68,2.02,1
258,13.46,4.08,4.69,2
259,7.2,4.28,1.33,1
260,13.64,0.97,3.43,1
261,26.32,2.43,6.44,2
262,10.01,2.2,3.84,1
263,13.64,2.62,2.41,2
264,22.64,2.6,4.81,2
265,6.82,3.01,3.22,1
266,9.51,2.4,2.21,2
267,8.5,1.38,2.12,1
268,18.75,3.69,5.93,1
269,19.73,3.83,2.72,2
270,8.08,2.45,2,2
271,11.11,6.26,6.31,2
272,5.19,1.66,1.47,1
273,13.04,2.61,2.47,1
274,21.86,0.73,9.26,2
275,11.13,2.66,2.07,1
276,13.67,1.19,3.6,1
277,15.21,3.34,3.18,2
278,4.15,2.42,2.35,1
279,7.31,0.59,0.99,1
280,11.98,2.76,3.02,1
281,7.08,1.87,1.71,1
282,27.48,6.76,6.14,1
283,14.88,1.68,6.08,2
284,11.32,1.49,2.93,1
285,16.51,1.18,3.69,1
286,12.38,3.34,3.56,2
287,10.46,2.38,2.79,1
288,26.47,2.56,4.36,1
