custid,veh,house,selfemp,account,deposit,emp,address,branch,ref
1,2,1,2,1,2,18,12,1,2
2,2,1,1,2,1,11,7,1,2
3,1,2,1,1,1,16,15,1,1
4,1,2,1,1,2,15,14,2,1
5,2,1,1,1,1,2,1,2,2
6,2,2,1,1,2,5,5,1,2
7,2,1,2,2,2,21,10,2,2
8,2,1,1,1,2,12,12,2,1
9,2,2,2,2,2,3,4,2,2
10,2,1,1,1,1,1,13,1,2
11,2,2,2,1,2,0,1,1,1
12,2,2,1,1,1,4,0,2,1
13,1,1,1,1,11,24,15,1,2
14,2,1,2,2,1,7,9,2,2
15,1,1,2,2,2,23,16,2,1
16,2,2,1,2,2,9,6,1,2
17,1,1,2,1,1,13,7,1,1
18,1,2,2,1,2,23,19,2,1
19,1,2,2,1,1,6,9,2,1
20,2,2,2,1,2,1,21,2,1
21,2,1,1,2,1,22,4,2,1
22,2,2,1,1,1,17,22,1,1
23,2,2,2,2,1,3,6,2,1
24,2,1,1,1,1,8,7,2,1
25,1,2,2,1,2,2,3,1,2
26,2,2,2,1,2,1,3,1,1
27,2,2,1,2,2,10,27,2,1
28,2,1,1,2,2,25,22,2,2
29,2,2,2,2,2,13,8,2,1
30,1,2,1,1,2,3,1,1,2
31,2,1,1,1,2,4,16,2,1
32,1,1,1,1,1,2,10,2,1
33,1,2,1,1,1,3,7,1,2
34,2,1,1,1,2,8,5,2,2
35,2,1,1,1,1,9,1,2,2
36,2,2,1,2,1,7,7,1,1
37,1,2,1,1,2,10,5,1,2
38,2,1,2,1,1,13,1,2,1
39,2,1,1,1,1,1,8,1,2
40,2,2,2,1,1,24,6,1,1
41,1,2,1,1,1,8,3,2,1
42,1,1,1,1,1,17,4,2,2
43,1,2,2,2,2,7,24,1,1
44,1,2,2,1,2,20,6,1,1
45,1,1,1,2,2,1,0,2,1
46,1,1,1,1,1,1,1,1,1
47,2,2,2,2,1,14,15,2,1
48,1,2,1,2,2,5,2,1,2
49,2,2,2,1,2,1,2,1,1
50,2,1,1,2,2,18,3,1,2
51,2,2,1,2,2,2,11,1,1
52,2,1,1,1,2,1,12,1,2
53,1,1,2,1,2,17,19,1,2
54,1,1,2,2,2,4,19,1,1
55,2,2,1,1,2,4,3,1,2
56,1,2,1,1,2,2,3,1,2
