custid,age,gender,ms,child,zone,bad
1,2,1,2,2,7,1
2,2,2,1,1,5,0
3,1,1,2,1,15,0
4,2,1,1,1,3,0
5,2,2,1,1,20,0
6,1,2,1,1,5,0
7,2,1,2,1,3,0
8,1,2,1,1,1,0
9,2,1,2,1,8,0
10,2,1,2,1,17,0
11,1,2,2,2,20,0
12,1,1,1,1,19,0
13,1,1,1,1,2,0
14,2,1,2,1,11,0
15,2,2,2,1,18,0
16,1,2,2,1,20,0
17,2,2,2,1,9,1
18,1,1,2,2,19,0
19,2,1,1,1,10,0
20,1,2,2,2,10,0
21,3,2,2,2,20,0
22,3,1,2,2,7,0
23,1,2,2,2,14,0
24,2,2,2,2,15,0
25,2,1,1,1,3,1
26,2,2,2,1,3,0
27,2,2,1,1,13,0
28,1,1,1,1,18,0
29,1,1,2,1,13,0
30,1,2,1,1,14,0
31,2,2,2,2,9,0
32,3,1,1,1,10,0
33,3,2,1,1,18,0
34,1,1,2,1,4,0
35,2,2,1,1,10,0
36,3,2,2,2,9,0
37,2,2,1,1,2,0
38,3,2,1,1,20,0
39,3,2,1,1,14,1
40,2,2,1,1,17,0
41,1,1,1,1,5,0
42,3,2,2,2,7,0
43,2,2,2,2,17,0
44,2,2,1,1,8,0
45,1,2,1,1,3,0
46,3,2,2,2,8,0
47,1,2,1,1,1,0
48,2,1,1,1,6,0
49,2,1,2,1,15,1
50,3,1,1,1,10,0
51,1,1,2,1,9,0
52,1,2,2,1,20,0
53,3,1,2,2,2,0
54,3,1,1,1,11,0
55,1,1,2,1,10,0
56,2,1,2,2,8,0
57,2,2,2,2,4,0
58,2,2,2,1,5,0
59,3,2,2,1,11,0
60,3,2,1,1,12,0
61,1,2,1,1,8,0
62,2,2,1,1,15,1
63,2,2,1,1,9,0
64,3,1,2,1,3,0
65,2,1,1,1,10,0
66,1,2,1,1,13,1
67,1,2,2,1,12,1
68,1,2,1,1,19,0
69,2,1,2,1,4,0
70,3,1,2,2,17,1
71,1,1,2,1,15,0
72,3,1,1,1,2,0
73,3,1,1,1,19,0
74,2,1,1,1,3,0
75,2,1,1,1,2,0
76,2,2,2,2,11,0
77,2,2,2,2,8,0
78,3,2,2,2,15,0
79,3,1,2,2,4,0
80,2,1,2,1,2,0
81,1,2,1,1,4,1
82,1,2,1,1,8,0
83,1,1,1,1,8,0
84,1,1,2,1,6,0
85,2,1,1,1,2,0
86,3,1,2,2,9,0
87,1,1,1,1,17,1
88,1,2,2,2,4,0
89,1,1,1,1,19,0
90,2,2,1,1,11,0
91,3,1,1,1,9,0
92,1,1,1,1,10,1
93,3,2,1,1,17,0
94,1,1,2,1,4,1
95,1,1,2,1,6,0
96,3,1,2,1,4,0
97,1,2,1,1,15,0
98,1,2,1,1,2,0
99,3,2,1,1,13,0
100,1,1,1,1,20,1
101,2,1,2,2,12,0
102,3,2,1,1,14,0
103,3,1,2,1,9,0
104,3,1,1,1,11,0
105,3,1,2,1,6,0
106,3,2,2,1,4,0
107,3,1,2,2,9,1
108,2,1,1,1,5,0
109,1,2,1,1,19,0
110,3,2,2,1,7,0
111,3,1,1,1,17,0
112,1,2,2,1,5,0
113,1,1,1,1,4,0
114,1,1,1,1,1,0
115,3,2,2,1,12,0
116,3,1,1,1,6,0
117,1,1,2,2,16,0
118,2,2,1,1,9,0
119,1,2,2,1,17,0
120,3,1,1,1,2,0
121,2,2,1,1,5,0
122,3,1,1,1,14,0
123,2,1,2,1,14,0
124,3,2,2,1,4,0
125,3,2,1,1,18,0
126,1,1,2,1,1,0
127,3,2,2,2,1,0
128,1,2,1,1,7,0
129,2,1,2,2,15,0
130,1,2,2,1,15,0
131,2,2,1,1,11,0
132,1,1,1,1,16,0
133,2,2,2,2,13,0
134,3,1,2,2,13,0
135,2,2,2,2,6,0
136,2,2,1,1,8,0
137,3,2,1,1,2,0
138,3,1,1,1,3,0
139,1,2,2,1,20,0
140,3,1,1,1,2,1
141,3,2,1,1,4,0
142,2,2,2,2,17,1
143,1,1,1,1,5,0
144,2,1,2,1,11,0
145,3,2,1,1,1,0
146,3,2,1,1,8,0
147,2,2,1,1,19,0
148,3,1,1,1,5,0
149,2,2,1,1,6,0
150,3,1,2,1,2,0
151,2,1,2,1,14,0
152,1,1,1,1,18,0
153,2,2,2,1,16,0
154,2,2,1,1,8,0
155,3,1,2,1,9,0
156,1,2,1,1,4,0
157,1,2,1,1,12,0
158,1,2,1,1,10,1
159,3,1,1,1,7,0
160,3,1,2,2,17,0
161,3,2,2,1,5,0
162,3,2,2,2,15,0
163,1,1,1,1,20,0
164,1,1,1,1,15,0
165,3,1,1,1,13,0
166,3,1,1,1,19,0
167,1,1,1,1,14,1
168,3,2,2,1,11,0
